id,Date/time-south,Temperature[C]-south-glass,Humidity[%rH]-south-glass,Date/time-west,Temperature[C]-west-glass,Humidity[%rH]-west-glass,Date/time-east,Temperature[C]-east-glass,Humidity[%rH]-east-glass,Date/time-north,Temperature[C]-north-glass,Humidity[%rH]-north-glass
1,4/4/2024 11:14:00 AM,23.30,35.50,4/4/2024 11:27:00 AM,22.50,44.60,4/4/2024 11:25:00 AM,23.50,37.80,4/4/2024 11:03:00 AM,23.40,35.70
2,4/4/2024 12:14:00 PM,40.50,14.10,4/4/2024 12:27:00 PM,32.60,22.80,4/4/2024 12:25:00 PM,35.00,17.40,4/4/2024 12:03:00 PM,24.80,38.20
3,4/4/2024 1:14:00 PM,46.00,12.00,4/4/2024 1:27:00 PM,33.30,21.60,4/4/2024 1:25:00 PM,37.10,17.30,4/4/2024 1:03:00 PM,30.50,21.40
4,4/4/2024 2:14:00 PM,35.40,18.50,4/4/2024 2:27:00 PM,33.40,24.50,4/4/2024 2:25:00 PM,39.80,17.50,4/4/2024 2:03:00 PM,30.60,23.50
5,4/4/2024 3:14:00 PM,33.20,24.40,4/4/2024 3:27:00 PM,32.90,28.20,4/4/2024 3:25:00 PM,41.20,18.50,4/4/2024 3:03:00 PM,33.00,24.90
6,4/4/2024 4:14:00 PM,31.80,29.00,4/4/2024 4:27:00 PM,31.90,30.60,4/4/2024 4:25:00 PM,31.70,30.80,4/4/2024 4:03:00 PM,40.30,19.50
7,4/4/2024 5:14:00 PM,29.50,35.20,4/4/2024 5:27:00 PM,29.90,37.20,4/4/2024 5:25:00 PM,29.10,40.10,4/4/2024 5:03:00 PM,38.50,22.50
8,4/4/2024 6:14:00 PM,26.60,42.80,4/4/2024 6:27:00 PM,26.10,46.50,4/4/2024 6:25:00 PM,27.00,48.90,4/4/2024 6:03:00 PM,33.40,31.60
9,4/4/2024 7:14:00 PM,23.80,58.50,4/4/2024 7:27:00 PM,23.00,62.40,4/4/2024 7:25:00 PM,24.60,64.80,4/4/2024 7:03:00 PM,25.10,58.40
10,4/4/2024 8:14:00 PM,22.50,68.20,4/4/2024 8:27:00 PM,21.60,70.60,4/4/2024 8:25:00 PM,23.60,72.50,4/4/2024 8:03:00 PM,23.30,72.20
11,4/4/2024 9:14:00 PM,21.60,71.60,4/4/2024 9:27:00 PM,20.90,75.40,4/4/2024 9:25:00 PM,23.10,74.30,4/4/2024 9:03:00 PM,22.30,73.30
12,4/4/2024 10:14:00 PM,21.10,75.80,4/4/2024 10:27:00 PM,20.40,76.90,4/4/2024 10:25:00 PM,22.40,78.40,4/4/2024 10:03:00 PM,21.80,78.30
13,4/4/2024 11:14:00 PM,20.90,81.10,4/4/2024 11:27:00 PM,20.00,82.20,4/4/2024 11:25:00 PM,22.10,83.70,4/4/2024 11:03:00 PM,21.10,84.10
14,4/5/2024 12:14:00 AM,20.50,84.80,4/5/2024 12:27:00 AM,19.50,84.20,4/5/2024 12:25:00 AM,21.40,80.90,4/5/2024 12:03:00 AM,20.50,85.60
15,4/5/2024 1:14:00 AM,19.50,82.30,4/5/2024 1:27:00 AM,18.40,83.20,4/5/2024 1:25:00 AM,20.40,78.30,4/5/2024 1:03:00 AM,19.40,83.80
16,4/5/2024 2:14:00 AM,19.10,85.80,4/5/2024 2:27:00 AM,18.10,84.80,4/5/2024 2:25:00 AM,19.90,83.80,4/5/2024 2:03:00 AM,18.60,87.00
17,4/5/2024 3:14:00 AM,18.90,92.30,4/5/2024 3:27:00 AM,18.40,88.30,4/5/2024 3:25:00 AM,19.30,89.60,4/5/2024 3:03:00 AM,18.60,92.80
18,4/5/2024 4:14:00 AM,18.40,92.80,4/5/2024 4:27:00 AM,18.10,89.20,4/5/2024 4:25:00 AM,18.60,91.40,4/5/2024 4:03:00 AM,18.50,92.30
19,4/5/2024 5:14:00 AM,17.60,91.60,4/5/2024 5:27:00 AM,16.90,90.60,4/5/2024 5:25:00 AM,17.90,90.50,4/5/2024 5:03:00 AM,17.40,91.00
20,4/5/2024 6:14:00 AM,17.30,88.40,4/5/2024 6:27:00 AM,16.80,89.70,4/5/2024 6:25:00 AM,18.20,84.00,4/5/2024 6:03:00 AM,16.60,92.40
21,4/5/2024 7:14:00 AM,26.50,62.40,4/5/2024 7:27:00 AM,19.40,79.50,4/5/2024 7:25:00 AM,21.40,69.40,4/5/2024 7:03:00 AM,17.60,85.30
22,4/5/2024 8:14:00 AM,42.90,22.10,4/5/2024 8:27:00 AM,41.10,35.70,4/5/2024 8:25:00 AM,25.50,50.10,4/5/2024 8:03:00 AM,29.90,42.70
23,4/5/2024 9:14:00 AM,48.00,16.30,4/5/2024 9:27:00 AM,46.30,19.80,4/5/2024 9:25:00 AM,28.90,40.40,4/5/2024 9:03:00 AM,25.70,43.40
24,4/5/2024 10:14:00 AM,51.00,12.40,4/5/2024 10:27:00 AM,44.70,18.60,4/5/2024 10:25:00 AM,29.50,29.60,4/5/2024 10:03:00 AM,26.60,34.70
25,4/5/2024 11:14:00 AM,49.40,11.60,4/5/2024 11:27:00 AM,32.20,24.60,4/5/2024 11:25:00 AM,29.60,26.40,4/5/2024 11:03:00 AM,28.00,34.90
26,4/5/2024 12:14:00 PM,47.70,11.40,4/5/2024 12:27:00 PM,31.20,26.40,4/5/2024 12:25:00 PM,34.90,23.50,4/5/2024 12:03:00 PM,28.80,27.10
27,4/5/2024 1:14:00 PM,44.30,15.10,4/5/2024 1:27:00 PM,31.60,29.70,4/5/2024 1:25:00 PM,38.10,21.60,4/5/2024 1:03:00 PM,29.00,35.00
28,4/5/2024 2:14:00 PM,34.50,27.00,4/5/2024 2:27:00 PM,32.30,32.00,4/5/2024 2:25:00 PM,39.80,22.80,4/5/2024 2:03:00 PM,29.50,36.00
29,4/5/2024 3:14:00 PM,32.90,31.80,4/5/2024 3:27:00 PM,31.70,35.30,4/5/2024 3:25:00 PM,41.50,23.00,4/5/2024 3:03:00 PM,33.40,33.50
30,4/5/2024 4:14:00 PM,31.10,33.60,4/5/2024 4:27:00 PM,31.80,34.10,4/5/2024 4:25:00 PM,30.80,34.80,4/5/2024 4:03:00 PM,39.50,23.50
31,4/5/2024 5:14:00 PM,28.70,39.10,4/5/2024 5:27:00 PM,29.90,39.70,4/5/2024 5:25:00 PM,28.00,45.40,4/5/2024 5:03:00 PM,38.20,25.40
32,4/5/2024 6:14:00 PM,26.00,50.40,4/5/2024 6:27:00 PM,26.40,50.50,4/5/2024 6:25:00 PM,26.10,56.70,4/5/2024 6:03:00 PM,33.20,36.40
33,4/5/2024 7:14:00 PM,23.30,61.00,4/5/2024 7:27:00 PM,23.50,61.00,4/5/2024 7:25:00 PM,24.20,67.10,4/5/2024 7:03:00 PM,24.40,63.20
34,4/5/2024 8:14:00 PM,22.40,66.90,4/5/2024 8:27:00 PM,22.60,63.70,4/5/2024 8:25:00 PM,23.80,64.40,4/5/2024 8:03:00 PM,23.00,68.60
35,4/5/2024 9:14:00 PM,22.10,66.60,4/5/2024 9:27:00 PM,22.10,66.80,4/5/2024 9:25:00 PM,23.30,68.20,4/5/2024 9:03:00 PM,22.40,67.60
36,4/5/2024 10:14:00 PM,21.80,68.80,4/5/2024 10:27:00 PM,21.70,67.90,4/5/2024 10:25:00 PM,22.60,67.90,4/5/2024 10:03:00 PM,21.80,70.90
37,4/5/2024 11:14:00 PM,21.40,75.30,4/5/2024 11:27:00 PM,21.20,71.40,4/5/2024 11:25:00 PM,22.20,73.00,4/5/2024 11:03:00 PM,21.00,76.40
38,4/6/2024 12:14:00 AM,21.10,78.40,4/6/2024 12:27:00 AM,20.80,74.90,4/6/2024 12:25:00 AM,21.70,73.30,4/6/2024 12:03:00 AM,20.30,80.10
39,4/6/2024 1:14:00 AM,20.00,77.60,4/6/2024 1:27:00 AM,19.80,76.10,4/6/2024 1:25:00 AM,20.70,75.30,4/6/2024 1:03:00 AM,19.70,79.60
40,4/6/2024 2:14:00 AM,19.60,78.90,4/6/2024 2:27:00 AM,19.40,75.20,4/6/2024 2:25:00 AM,20.30,74.90,4/6/2024 2:03:00 AM,19.00,80.10
41,4/6/2024 3:14:00 AM,19.80,73.50,4/6/2024 3:27:00 AM,19.50,73.40,4/6/2024 3:25:00 AM,20.30,71.40,4/6/2024 3:03:00 AM,19.10,77.30
42,4/6/2024 4:14:00 AM,19.20,71.70,4/6/2024 4:27:00 AM,19.10,72.50,4/6/2024 4:25:00 AM,19.80,69.60,4/6/2024 4:03:00 AM,18.60,75.40
43,4/6/2024 5:14:00 AM,19.20,71.70,4/6/2024 5:27:00 AM,18.90,72.10,4/6/2024 5:25:00 AM,19.70,69.80,4/6/2024 5:03:00 AM,18.30,76.10
44,4/6/2024 6:14:00 AM,19.00,66.80,4/6/2024 6:27:00 AM,19.20,67.50,4/6/2024 6:25:00 AM,19.80,64.50,4/6/2024 6:03:00 AM,17.80,75.00
45,4/6/2024 7:14:00 AM,27.00,45.60,4/6/2024 7:27:00 AM,21.80,57.40,4/6/2024 7:25:00 AM,22.40,53.70,4/6/2024 7:03:00 AM,19.70,63.00
